neuroNamesID,cNIDType,cNID,cTypeId,cType,brainStructureType,standardName,standardAcronym,brainInfoURL,cDefinition,synonyms,parents
15,h,-1176007523,9,classical nervous system,White Primary Structure,inferior occipital white matter,iow,http://braininfo.org/centraldirectory.aspx?ID=15,"refers to the part of occipital white matter that is located deep to the inferior occipital gyrus on the ventrolateral aspect of the occipital lobe. Defined by dissection and stains for myelin, it is found in the human ( Oishi-2009 ) and the macaque ( NeuroNames ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
16,h,-659272139,9,classical nervous system,White Primary Structure,superior temporal white matter,stw,http://braininfo.org/centraldirectory.aspx?ID=16,"refers to the part of temporal white matter that is located deep to the superior temporal gyrus on the lateral aspect of the temporal lobe. Defined by dissection and stains for myelin, it is found in the human ( Oishi-2009 ) and the macaque ( NeuroNames ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
17,h,-437238407,9,classical nervous system,White Primary Structure,superior frontal white matter,sfw,http://braininfo.org/centraldirectory.aspx?ID=17,"refers to the part of frontal white matter that is located deep to the superior frontal gyrus on the dorsal aspect of the frontal lobe. Defined by dissection and stains for myelin, it is found in the human ( Oishi-2009 ) and the macaque ( NeuroNames ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
18,h,-314374533,9,classical nervous system,White Primary Structure,middle temporal white matter,mtw,http://braininfo.org/centraldirectory.aspx?ID=18,"refers to the part of temporal white matter that is located deep to the middle temporal gyrus on the lateral aspect of the temporal lobe. Defined by dissection and stains for myelin, it is found in the human ( Oishi-2009 ) and the macaque ( NeuroNames ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
19,h,-294001527,9,classical nervous system,White Primary Structure,decussation of the anterior commissure,dac,http://braininfo.org/centraldirectory.aspx?ID=19,"refers to the portion of the anterior commissure that crosses the midsagittal plane between the cerebral hemispheres. The center or caudal boundary of the decussation is the zero coordinate of stereotaxic space in most stereotaxic brain atlases in current use. The anterior commissure is found in the human, macaque, rat, and mouse ( NeuroNames ).",,
20,h,-80092279,9,classical nervous system,White Primary Structure,superior parietal white matter,spw,http://braininfo.org/centraldirectory.aspx?ID=20,"refers to the part of parietal white matter that is located deep to the superior parietal lobule on the dorsolateral aspect of the parietal lobe. Defined by dissection and stains for myelin, it is found in the human ( Oishi-2009 ) and the macaque ( NeuroNames ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
21,h,1,9,classical nervous system,Superstructure,brain,Br,http://braininfo.org/centraldirectory.aspx?ID=21,"refers to one of two parts of the central nervous system (CNS) as defined by dissection in vertebrates. It is the part of the CNS located in the cranial cavity; the other part is the spinal cord. (Some biologists also use 'brain' in reference to the central ganglion of the nervous system of invertebrate species ( Wikipedia )). 
Neuroanatomists subdivide the brain in three different ways. Most textbooks and brain atlases are organized according to the Classical Model, which at the highest level divides the brain into forebrain, midbrain and hindbrain. Below that level structures are grouped by proximity as the brain is dissected to finer and finer levels. The Classical Model is reflected in the hierarchy of human and macaque brain structures that you find when you click 'Locus in Brain Hierarchy' below. It is reflected for the rhesus macaque brain in the Macaque Brain by Dubach, which you find by clicking 'Models Where It Appears' below. 
The definition of the brain in the second model, the Developmental CNS Model, differs from the Classical Model in that structures are grouped by the location of their precursors in the embryo; and it includes the retina, a structure which is located outside the cranial cavity of the mature animal but originates in the Encephalon (embryonic brain). (The retina is classically defined as part of the peripheral nervous system.) To avoid confusion, the standard NeuroNames terminology for structures defined by dissection of the mature brain are in English; standard names for subdivisions based on embryonic precursor are in Latin and capitalized. Thus, the highest level divisions of the Developmental CNS Model are the Telencephalon, Mesencephalon, and Rhombencephalon, which correspond to a large extent, but with significant exceptions, to the forebrain, midbrain, and hindbrain of the Classical Model. (The Developmental CNS Model is not currently illustrated in BrainInfo.)
In the third model, the Functional CNS Model, structures are grouped by a combination of criteria, including embryonic origin, internal structure, connectivity, and function. Division at the highest level is into four structures: the pallium, cerebral nuclei, cerebellum, and cerebrospinal trunk. (The pallium consists of the cerebral cortex and the cortical subplate nuclei.) In the Functional Model the retina is a component of the cerebrospinal trunk. The concept 'brain' does not actually appear in the Functional CNS Model, because there is no functionally meaningful basis for distinguishing the part of the cerebrospinal trunk located in the cranium from that enclosed in the spinal column. 
The hierarchical organization of the Functional Model is derived almost entirely from appendices to the atlas of the rat brain in Swanson-2004 . To see it, click: <a href=""http://braininfo.org/OtherModels.aspx?requestID=2868&questID=&pTerm=Functional+CNS+Model+-+Rat"" target=""_new"">Functional CNS Model - Rat</a>. The NeuroNames terminology for structures in the Functional Model is, insofar as possible, the same as that for structures that are equivalent to structures in the Classical Model. 
Each of the three models is more useful than the others for certain purposes. The Classical Model is most useful for understanding the terminology of the neuroanatomical literature of the past century and for surgical and radiological applications, which involve dissection and/or visualization according to classical landmarks. The Developmental Model is more useful for analyzing the embryonic and genetic origins of brain structure. The Functional Model is most useful for addressing the fundamental challenge of neuroscience, namely to understand the relations between neural structure and function. 
In that context, the primary purpose of BrainInfo/NeuroNames is to clarify the relations between the structural concepts and the terminologies of these and other ways of looking at the central nervous system.",,
22,h,2,9,classical nervous system,Superficial Structure,cerebrocerebellar fissure,ccbf,http://braininfo.org/centraldirectory.aspx?ID=22,"refers the part of the transverse cerebral fissure that separates the occipital lobe from the cerebellum and which contains the cerebellar tentorium. The other part is the telodiencephalic fissure  ( Riley-1943 ). It is found in the human, macaque, rat, and mouse ( NeuroNames ).",,
23,h,4,9,classical nervous system,Superficial Structure,superior pontine sulcus,sps,http://braininfo.org/centraldirectory.aspx?ID=23,refers to the groove on the anterior aspect of the brainstem that marks the boundary between the pons and the crus cerebri of the midbrain. It is found in the human ( Carpenter-1983 ) and the macaque ( NeuroNames ).  ,,
24,h,5,9,classical nervous system,Superficial Structure,choroidal fissure,chf,http://braininfo.org/centraldirectory.aspx?ID=24,refers to a cleft-like opening in the wall of the lateral ventricle that appears when the choroid plexus is dissected away. It extends from the interventricular foramen to the end of the temporal horn of the lateral ventricle. The part nearest the interventricular foramen is between the lateral edge of the fornix and the upper surface of the thalamus; in the inferior horn it is between the fimbria and the stria terminalis ( Gray-1918a ). ,,
25,h,6,9,classical nervous system,Superficial Structure,interpeduncular cistern,icis,http://braininfo.org/centraldirectory.aspx?ID=25,"refers to the anterior portion of the posterior basal cistern. It is a cerebrospinal fluid filled cavity in the floor of the cranium outside the midbrain, between the pons and the mammillary body. It is found in the human ( Carpenter-1983 ) and the macaque ( NeuroNames ).",,
26,h,7,9,classical nervous system,Superficial Structure,quadrigeminal cistern,scis,http://braininfo.org/centraldirectory.aspx?ID=26,"refers to the cerebrospinal fluid filled space between the cerebrum and the cerebellum. Its floor is formed by the pineal gland, the superior colliculus, and the inferior colliculus. (The colliculi constitute the Corpus quadrigemina from which the cistern gets its name.) It is found in the human ( Carpenter-1983 ), macaque, rat, and mouse ( NeuroNames ).",,
27,h,8,9,classical nervous system,Volumetric Superstructure,forebrain,FBr,http://braininfo.org/centraldirectory.aspx?ID=27,"refers to one ot three components of the brain as defined in the Classical Model by dissection. The other components are the midbrain and the hindbrain.The most anterior of the three, its caudal boundary is with the midbrain: a nominally coronal plane defined by the rostral margin of the superior colliculus dorsally and the caudal margin of the mammillary body ventrally. The forebrain is composed of two parts: the endbrain and the interbrain.  Substructures of the forebrain are derived for the most part, but not entirely, from the embryonic Prosencephalon. It is found in the human, macaque, rat, and mouse ( NeuroNames ).",,
28,h,9,9,classical nervous system,Superficial Structure,telodiencephalic fissure,tdf,http://braininfo.org/centraldirectory.aspx?ID=28,"refers to the part of the transverse cerebral fissure that separates the ventral surfaces of the corpus callosum and fornix (of the endbrain) from the dorsal surface of the interbrain. Formed by the folding back of the endbrain over the interbrain during fetal development, it is technically outside the brain. It gets its name from the Telencephalon and Diencephalon, embryonic precursors of the endbrain and interbrain respectively. It together with the cerebrocerebellar fissure constitute the transverse cerebral fissure. It is found in the human ( Riley-1943 ) and the macaque ( Martin-2000 ), ",,
29,h,10,9,classical nervous system,Superficial Structure,cistern of the lamina terminalis,cislt,http://braininfo.org/centraldirectory.aspx?ID=29,refers to the cerebrospinal fluid filled space outside the brain and rostral to the lamina terminalis. The lamina forms the anterior wall of the third ventricle of the hypothalamus. The cistern is found in the human ( Riley-1943 ) and the macaque ( NeuroNames ).,,
30,h,11,9,classical nervous system,Superficial Structure,chiasmatic cistern,ccis,http://braininfo.org/centraldirectory.aspx?ID=30,"refers to the cerebrospinal fluid filled space outside the brain next  to the optic chiasm. It is found in the human ( Riley-1943 ), macaque, rat, and mouse ( NeuroNames ). ",,
31,h,12,9,classical nervous system,Volumetric Superstructure,endbrain,EBr,http://braininfo.org/centraldirectory.aspx?ID=31,"refers to one of two components of the forebrain. As the more rostral component, its most prominent cellular subdivisions are the cerebral cortex, the basal ganglia, the septum, and the basal forebrain. The more caudal component of the forebrain is the interbrain ( Carpenter-1983  ).  The endbrain is grossly equivalent to the cerebrum of the Functional CNS Model - Rat of brain structure ( Swanson-2004 ). It is found in the human, macaque, rat, and mouse.",,
32,h,13,9,classical nervous system,Superficial Structure,olfactory nerve,1n,http://braininfo.org/centraldirectory.aspx?ID=32,"refers to the first of the cranial nerves (I). It consists of very short filamentous bundles of unmyelinated nerve axons that originate from bipolar sensory cells in the olfactory mucosa high in the nasal cavity. They project through the cribiform plate, the thin boney roof of the nasal cavity, to the olfactory bulb on the floor of the cranial cavity. They are the first neurons in the olfactory system, which is responsible for the sense of smell. The nerve is demonstrated by fiber stains in the human, macaque, rat and mouse ( Price-1990 ).",,
33,h,14,9,classical nervous system,Superficial Structure,terminal nerve,trn,http://braininfo.org/centraldirectory.aspx?ID=33,"refers to one of two nerves forming the vomeronasal-terminalis nerve complex from the lining of the nasal cavity to the brain. It is found in the rat ( Swanson-2004 ) and certain other animals ( Crosby-1962 ). Reports agree that the complex is demonstrable in the human fetus into the third trimester of gestation. They differ, however, as to whether it persists in the human beyond birth. Early authors said 'yes' ( Crosby-1962 ); later authors say 'no' ( Moran-1995 ). 
The other component of the complex is the vomeronasal nerve. The two are located in close proximity throughout much of their course, but arise from different parts of the nasal epithelium and connect to somewhat different areas in the brain. They are distinct from the olfactory nerve, which is found in both rodents and primates.  (See also: olfactory nerve, accessory olfactory bulb, and vomeronasal organ.) ",,
34,h,15,9,classical nervous system,Superficial Structure,olfactory trigone,olt,http://braininfo.org/centraldirectory.aspx?ID=34,"refers to a triangular area on the ventral surface of the forebrain of the human ( Carpenter-1983 ). It is a superficial feature, the floor of which is the olfactory tubercle (also known in the human as the anterior perforated substance). The peak of the triangle faces anteriorly and is formed by what early dissections suggested to be a split of the olfactory tract into medial and lateral olfactory tracts. Later studies showed that the fold of tissue presumed to be a medial olfactory tract did not, in fact, contain neuronal axons. The lateral structure is now recognized as the caudal continuation of the olfactory tract ( Price-1990 ).",,
35,h,16,9,classical nervous system,Superficial Structure,longitudinal fissure,lf,http://braininfo.org/centraldirectory.aspx?ID=35,"refers to the great fissure that separates the right from the left cerebral hemisphere. Defined by dissection, it is found in the human ( Carpenter-1983 ), the macaque ( Martin-2000 ), the rat and the mouse ( NeuroNames ). ",,
36,h,17,9,classical nervous system,Superficial Structure,callosal sulcus,cas,http://braininfo.org/centraldirectory.aspx?ID=36,"refers to the cleft that separates the corpus callosum from the cingulate gyrus; it opens into the longitudinal fissure on the medial surface of the cerebral hemisphere. Defined on the basis of dissection, it is found in the human ( Carpenter-1983 ) and the macaque ( Martin-2000 ). No comparable feature is shown in brain atlases of the rat ( Swanson-2004 ) and mouse ( Franklin-2008 ).",,
37,h,18,9,classical nervous system,Superficial Structure,anterior parolfactory sulcus,aps,http://braininfo.org/centraldirectory.aspx?ID=37,refers to a vertical groove on the medial surface of the frontal lobe below the rostrum of the corpus callosum. It defines the anterior boundary of the subcallosal gyrus and is found only in the human ( Carpenter-1983 ).  ,,
38,h,19,9,classical nervous system,Superficial Structure,posterior parolfactory sulcus,ppos,http://braininfo.org/centraldirectory.aspx?ID=38,"refers to a vertical groove on the medial surface of the frontal lobe below the rostrum of the corpus callosum. Demonstrated by dissection, it separates the subcallosal gyrus rostrally from the paraterminal gyrus (also known as the 'subcallosal gyrus'), caudally. It is found only in the human ( Carpenter-1983 ).  ",,
39,h,20,9,classical nervous system,Volumetric Superstructure,cerebral cortex,Cx,http://braininfo.org/centraldirectory.aspx?ID=39,"refers to the most prominent part of the endbrain as defined by dissection and Nissl stain. It derives developmentally  from the cortical plate of the embryonic Encephalon. In the adult human its average volume (two hemispheres combined) is 550 cubic centimeters, and the total number of neurons is estimated at 23 billion. Its surface area in the adult is three times greater than at birth, and two thirds of the surface is hidden in the walls of the sulci ( Zilles-2012 ).
In the human ( Mai-2004 ) and the macaque ( Martin-2000 ) it is divided by sulci and fissures into six lobes: the frontal lobe, parietal lobe, occipital lobe, temporal lobe, limbic lobe, and insula. In the rat ( Swanson-2004 ) and mouse ( Hof-2000 ) it is a smooth structure.  
In the Functional CNS Model - Rat it is one of three components of the cerebrum. The other two are the cortical subplate nuclei and the cerebral nuclei. This definition is the same as the classical definition, except that layer 6b is provisionally classified with the cortical plate nuclei, not with the cerebral cortex ( Swanson-2004 ). 
The cerebral cortex of primates is classically subdivided topographically into lobes and gyri, on the basis of sulcal landmarks. In functional models it is subdivided into regions and areas of neocortex and allocortex on the basis of  internal architecture ( Stephan-1975 ).  While primates and rodents share almost no topographic landmarks, most of the architectonic areas of the rodent brain have equivalents in the primate brain. A number of architectonically defined areas of the primate brain, however, have no equivalent in the rodent. Those include particularly areas in prefrontal cortex and at the junction of the parietal lobe, temporal lobe, and occipital lobe of the primate.",,
40,h,21,9,classical nervous system,Superficial Structure,uncus,un,http://braininfo.org/centraldirectory.aspx?ID=40,"refers to a superficial feature of the rostral part of the parahippocampal gyrus where it ""hooks around the hippocampal fissure to form a medially protruding convolution"" on the anteromedial surface of the temporal lobe ( Carpenter-1983 ). In the human, the underlying structures include the anterodorsal part of the entorhinal area rostrally and the portion of the hippocampus that bends back on itself caudally ( Mai-1997 ). In the macaque it is formed entirely by the hook portion of the hippocampus ( Paxinos-2009a ). Brain atlases of the rat and mouse show no equivalent feature.",,
41,h,22,9,classical nervous system,Superficial Structure,rhinal sulcus,rhs,http://braininfo.org/centraldirectory.aspx?ID=41,"refers, in the primate, to a groove on the ventromedial surface of the temporal lobe that separates the entorhinal area of the parahippocampal gyrus from more lateral structures. In the human it separates the entorhinal area of the parahippocampal gyrus from the fusiform gyrus ( Carpenter-1983 ). Some authors regard it to be an extension of the collateral sulcus in the human ( Mai-2004 ). In the macaque it separates the entorhinal area from the inferior temporal gyrus ( Martin-2000 ). 
One of only four 'grooves' in the cerebral cortex of the rat ( Swanson-2004 ), it runs longitudinally on the ventrolateral surface, almost the entire length of the cortex. Caudally it separates the entorhinal area ventrally from the ectorhinal area dorsally. More rostrally, the perirhinal area intervenes between those two areas, and the rhinal sulcus runs within it. At about the anterior-posterior level of the hypothalamus, the ectorhinal area disappears and the sulcus separates the entorhinal area and the perirhinal area ventrally from the agranular insula dorsally. Rostrally from there, it runs within the agranular insular area and most rostrally it separates the piriform area ventrally from the agranular insular area dorsally ( Swanson-2004 ).  A similar but less prominent, interrupted sulcus is found in the mouse ( Hof-2000 ).",,
42,h,23,9,classical nervous system,Superficial Structure,hippocampal fissure,his,http://braininfo.org/centraldirectory.aspx?ID=42,refers to a deep cleft on the medial surface of the temporal lobe of the human ( Carpenter-1983 ) and the macaque ( Paxinos-2009a ). In those species it separates the dentate gyrus from the parasubiculum and presubiculum of the parahippocampal gyrus and from the subiculum of the hippocampal formation. In the rat ( Swanson-2004 ) and mouse ( Hof-2000 ) it separates the dentate gyrus from the CA1 field of the hippocampal formation.,,
43,h,24,9,classical nervous system,Superficial Structure,cingulate sulcus,cgs,http://braininfo.org/centraldirectory.aspx?ID=43,"refers to a deep longitudinal cleft separating the limbic lobe  from the frontal lobe and rostral portion of the parietal lobe in primates. Defined by dissection, it parallels the genu of the corpus callosum and the body of the corpus callosum. In the human it separates the cingulate gyrus from the superior frontal gyrus dorsal to the body and rostral to the genu. Caudally it separates the cingulate gyrus from the paracentral lobule, finally curving upward to define the boundary between the lobule and the precuneus ( Carpenter-1983 ). 
In the macaque also, it separates the cingulate gyrus from the superior frontal gyrus rostrally; continuing caudally it separates the cingulate from the medial surfaces of the precentral gyrus, the postcentral gyrus and the superior parietal lobule ( Martin-2000 ). 
Comparable structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).  ",,
44,h,25,9,classical nervous system,Superficial Structure,calcarine sulcus,ccs,http://braininfo.org/centraldirectory.aspx?ID=44,"refers to a deep, internally complex fissure that opens onto the medial surface of the occipital lobe of the human ( Carpenter-1983 ) and the macaque ( Martin-2000 ). It separates the lingual gyrus ventrally from the cuneus and precuneus dorsally. In some cases it splits posteriorly into a dorsally curving superior calcarine sulcus and a ventrally curving inferior calcarine sulcus ( Duvernoy-1992; Martin-2000 ). Comparable structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).
",,
45,h,26,9,classical nervous system,Superficial Structure,anterior calcarine sulcus,acs,http://braininfo.org/centraldirectory.aspx?ID=45,"refers to a rostral extension of the calcarine sulcus on the medial surface of caudal cerebral cortex in the human ( Roberts-1970 ). In some cases the extension reaches the hippocampal fissure ( Duvernoy-1992 ), in which case it defines the boundary between the isthmus of the cingulate gyrus and the parahippocampal gyrus of the limbic lobe. While the calcarine sulcus of the macaque ordinarily extends equally far into the limbic lobe, the rostral portion is not named ( Martin-2000; Paxinos-2009a ). Comparable structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
46,h,27,9,classical nervous system,Superficial Structure,simian fossa - obsolete,,http://braininfo.org/centraldirectory.aspx?ID=46,N/A,,
47,h,28,9,classical nervous system,Superficial Structure,collateral sulcus,cos,http://braininfo.org/centraldirectory.aspx?ID=47,refers to a groove that separates the lingual gyrus from the fusiform gyrus on the ventral surface of the temporal lobe in the human ( Carpenter-1983 ) and the macaque ( Martin-2000 ).  Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).  ,,
48,h,29,9,classical nervous system,Superficial Structure,central sulcus,cs,http://braininfo.org/centraldirectory.aspx?ID=48,refers to the groove that separates the precentral gyrus of the frontal lobe from the parietal  lobe. It is found in the human ( Carpenter-1983 ) and the macaque ( Martin-2000 ).  Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).  ,,
49,h,30,9,classical nervous system,Superficial Structure,lateral fissure,ls,http://braininfo.org/centraldirectory.aspx?ID=49,"refers to the major groove that separates the superior temporal gyrus of the temporal lobe from the frontal lobe rostrally and the parietal lobe caudally. It is found in the human ( Carpenter-1983 ) and the macaque ( Martin-2000 ). It overlies the insula, which is exposed by retraction of its dorsal and ventral walls. 
In the human it is divided into the stem of the lateral fissure rostrally, the posterior limb of the lateral fissure (the central and major portion) and, at the caudal end, the terminal ascending limb of the lateral fissure and the terminal descending limb of the lateral fissure. It has four side branches into the frontal lobe: the anterior horizontal limb of the lateral fissure, the anterior ascending limb of the lateral fissure, and the anterior subcentral sulcus. It has one branch into the parietal lobe: the posterior subcentral sulcus; and one branch into the superior temporal gyrus: the transverse temporal sulcus ( Ono-1990 ). 
In the macaque it is not subdivided and does not have side branches. Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).  ",,
50,h,31,9,classical nervous system,Superficial Structure,limen insula,lmi,http://braininfo.org/centraldirectory.aspx?ID=50,"refers to the rostral surface of the junction between the insula and the temporal lobe in the human ( Ture-1999  ) and the macaque ( Mesulam-1982 ). More specifically, in the human it is the rostral surface of the junction of the anterior long gyrus of the  insula with the piriform area of the parahippocampal gyrus. Identified by dissection, its medial border on the ventral surface of the brain is with the olfactory tubercle, which in primates is commonly referred to as the 'anterior perforated substance' ( Duvernoy-1992 ).  The limen insula has no topological equivalent in the rat or mouse.",,
51,h,32,9,classical nervous system,Superficial Structure,limiting sulcus,crs,http://braininfo.org/centraldirectory.aspx?ID=51,"refers to the boundary between the cortex of the insula and that of surrounding gyri of the frontal lobe, the parietal lobe and the temporal lobe. Equally well known as the 'circular sulcus', it is identified by dissection in higher primates.
In the human it has three parts: the anterior limiting sulcus, which separates the anterior insula from the basal operculum of the orbital gyri; the superior limiting sulcus, which separates the dorsal part of the insula from the frontal operculum and the parietal operculum; and the inferior limiting sulcus, which separates the insula ventrally from the superior temporal gyrus ( Ture-1999 ). The limiting sulcus of the macaque is similar except that it has no anterior component ( Mufson-1997 ). 
Equivalent structures are not found in the smooth cerebral cortex of the rat and mouse ( NeuroNames ).  ",,
52,h,33,9,classical nervous system,Superficial Structure,parieto-occipital sulcus,pos,http://braininfo.org/centraldirectory.aspx?ID=52,"refers to the groove in the cerebral cortex that separates the precuneus of the parietal lobe from the cuneus of the occipital lobe on the medial surface of the cerebral hemisphere. It is found in the human ( Carpenter-1983 ) and the macaque ( Martin-2000 ). In the macaque it merges with the intraparietal sulcus, and the lunate sulcus of the macaque on the dorsal surface of the brain ( Kappers-1960 ). Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).  ",,
53,h,34,9,classical nervous system,Superficial Structure,medial parieto-occipital sulcus,apos,http://braininfo.org/centraldirectory.aspx?ID=53,"refers to a small three-limbed groove located on the medial surface of the cerebral hemisphere of the macaque ( Martin-2000 ). Defined by dissection, it marks the four-way junction of the occipital lobe and parietal lobe with the posterior cingulate gyrus and isthmus of the cingulate gyrus ( limbic lobe ). It is equivalent to the lower part of the splenial sulcus of the human ( Ono-1990 ). In the macaque the upper part, the subparietal sulcus,  is detached ( Bonin-1947 ).
Equivalent structures are not found in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).  ",,
